author,comment,likes,publishedAt
@al3xuk,"Christmas has officially arrived, thank you John Lewis ❤ as a single father of 2 this ad speaks volumes.",0,2025-11-14T21:44:41Z
@scatmancrothers,"You can see this is heavily inspired by the film Aftersun, its even edited the same way.",0,2025-11-14T21:15:58Z
@LessMarxMoreMises,"Worst Christmas ad in history! Was it written by AI?! Forced sentimentality, weird, parody-like cringe fest! It's as if they said ""Right, what sums up a British Christmas?... A middle-aged, Labour-voting dad  doing TikTok-level Dad Dancing at a rave he absolutely should not be at!""",0,2025-11-14T21:03:13Z
@Andrew.-.-,Brilliant advert best ever,0,2025-11-14T19:29:03Z
@ravchana2393,Class 👌🏽,0,2025-11-14T17:34:45Z
@meravbarnathan4793,"It’s being a while since you made a good advert 
Welcome back! 🎄",0,2025-11-14T15:20:01Z
@shaptoni,Alison f'ing Limerick? John Lewis have no idea what 90's raving was (lets keep it that way),0,2025-11-14T15:13:50Z
@rossparker3274,Will mean different things to different people. For me it absolutely highlighted how much I respect and Love my Dad but if sat in the Pub having a pint would talk Football and never say the actual words.,1,2025-11-14T14:26:55Z
@Oscarspoem,"I think it hits home to a lot of Dad's.  Really touching. We'll done John Lewis. Love to all great Dad's and Mum's, give yourself a hug.",0,2025-11-14T12:56:35Z
@Filmmaker809,John Lewis and Waitrose are not the same companies they used to be.  They use AI against its job seekers.,0,2025-11-14T12:22:54Z
@T3LDV,"for all the 50ish men out there, what a great advert",0,2025-11-14T11:24:37Z
@AetherSummers,"It’s about time we see Dads represented authentically in advertising, rather than being the butt of a silly joke. I never usually like these - but bravo John Lewis!",0,2025-11-14T11:18:11Z
@jasonsiu6424,"Hoping Charlotte Wells and the Aftersun crew did their creative royalties credited for.

*This is a carbon copy of the dance floor scene from the end of Aftersun (2022).",0,2025-11-14T11:12:52Z
@kingkongzillabong,Aftersun vibes,0,2025-11-14T10:21:55Z
@anthonycooper2500,49 year old Dad of two here. You've just ensured that I will definitely be shopping in John Lewis for Christmas presents. Fortune favours the brave. Bravo!,0,2025-11-14T10:15:26Z
@punkomattic89,"I cannot wait to go into debt buying things from John Lewis :,(",0,2025-11-14T08:56:12Z
@DannyMcdermott-q3u,Deep 😢,0,2025-11-14T08:09:05Z
@tasospetsas,"It flopped, as expected. Only the fans of John Lewis listened to it. It was released on vinyl exclusively in his stores and nowhere else. Very awful promotion",0,2025-11-14T05:55:17Z
@CJGTrain,Urgh you’re killing me John Lewis!,0,2025-11-14T05:18:08Z
