author,comment,likes,publishedAt,comment_clean
@Andrew.-.-,Brilliant advert best ever,0,2025-11-14T19:29:03Z,brilliant advert best ever
@ravchana2393,Class 👌🏽,0,2025-11-14T17:34:45Z,class
@meravbarnathan4793,"It’s being a while since you made a good advert 
Welcome back! 🎄",0,2025-11-14T15:20:01Z,it’s being a while since you made a good advert welcome back!
@shaptoni,Alison f'ing Limerick? John Lewis have no idea what 90's raving was (lets keep it that way),0,2025-11-14T15:13:50Z,alison f'ing limerick? john lewis have no idea what 90's raving was (lets keep it that way)
@rossparker3274,Will mean different things to different people. For me it absolutely highlighted how much I respect and Love my Dad but if sat in the Pub having a pint would talk Football and never say the actual words.,1,2025-11-14T14:26:55Z,will mean different things to different people. for me it absolutely highlighted how much i respect and love my dad but if sat in the pub having a pint would talk football and never say the actual words.
@Oscarspoem,"I think it hits home to a lot of Dad's.  Really touching. We'll done John Lewis. Love to all great Dad's and Mum's, give yourself a hug.",0,2025-11-14T12:56:35Z,"i think it hits home to a lot of dad's. really touching. we'll done john lewis. love to all great dad's and mum's, give yourself a hug."
@Filmmaker809,John Lewis and Waitrose are not the same companies they used to be.  They use AI against its job seekers.,0,2025-11-14T12:22:54Z,john lewis and waitrose are not the same companies they used to be. they use ai against its job seekers.
@T3LDV,"for all the 50ish men out there, what a great advert",0,2025-11-14T11:24:37Z,"for all the 50ish men out there, what a great advert"
@AetherSummers,"It’s about time we see Dads represented authentically in advertising, rather than being the butt of a silly joke. I never usually like these - but bravo John Lewis!",0,2025-11-14T11:18:11Z,"it’s about time we see dads represented authentically in advertising, rather than being the butt of a silly joke. i never usually like these - but bravo john lewis!"
@jasonsiu6424,"Hoping Charlotte Wells and the Aftersun crew did their creative royalties credited for.

*This is a carbon copy of the dance floor scene from the end of Aftersun (2022).",0,2025-11-14T11:12:52Z,hoping charlotte wells and the aftersun crew did their creative royalties credited for. *this is a carbon copy of the dance floor scene from the end of aftersun (2022).
@kingkongzillabong,Aftersun vibes,0,2025-11-14T10:21:55Z,aftersun vibes
@anthonycooper2500,49 year old Dad of two here. You've just ensured that I will definitely be shopping in John Lewis for Christmas presents. Fortune favours the brave. Bravo!,0,2025-11-14T10:15:26Z,49 year old dad of two here. you've just ensured that i will definitely be shopping in john lewis for christmas presents. fortune favours the brave. bravo!
@punkomattic89,"I cannot wait to go into debt buying things from John Lewis :,(",0,2025-11-14T08:56:12Z,"i cannot wait to go into debt buying things from john lewis :,("
@DannyMcdermott-q3u,Deep 😢,0,2025-11-14T08:09:05Z,deep
@tasospetsas,"It flopped, as expected. Only the fans of John Lewis listened to it. It was released on vinyl exclusively in his stores and nowhere else. Very awful promotion",0,2025-11-14T05:55:17Z,"it flopped, as expected. only the fans of john lewis listened to it. it was released on vinyl exclusively in his stores and nowhere else. very awful promotion"
@CJGTrain,Urgh you’re killing me John Lewis!,0,2025-11-14T05:18:08Z,urgh you’re killing me john lewis!
@johnkeane5641,Exalent,0,2025-11-14T03:07:56Z,exalent
@vyvafc,Charlotte Wells should sue,0,2025-11-14T03:01:01Z,charlotte wells should sue
@RIGTHEMORT,"So. He's reminiscing on having the time of his life, then he had a kid, and that kid took him away from the rave and spoiled it all..

Man's not even got 1210's.. pfft 🙄",1,2025-11-14T00:52:14Z,"so. he's reminiscing on having the time of his life, then he had a kid, and that kid took him away from the rave and spoiled it all.. man's not even got 1210's.. pfft"
@JSTREETON,"Lost my dad in 2018… I have twin 6 year olds, I get this advert",0,2025-11-13T21:48:58Z,"lost my dad in 2018… i have twin 6 year olds, i get this advert"
@kaygalloway4215,Soppy load of bs. Bring back dogs on Trampolines.,0,2025-11-13T17:30:37Z,soppy load of bs. bring back dogs on trampolines.
@Allapa-im9jr,"A very powerful advert, beautifully done. So authentic and British. The best advert John Lewis has done in a long time, this has honestly made me consider putting John Lewis as my favourite dept store company.",5,2025-11-13T16:22:58Z,"a very powerful advert, beautifully done. so authentic and british. the best advert john lewis has done in a long time, this has honestly made me consider putting john lewis as my favourite dept store company."
@samdutton,Made the mistake of watching this at work 😹. Brilliant.,1,2025-11-13T13:43:12Z,made the mistake of watching this at work . brilliant.
@NoOne-vs4lx,"As a Gen X ex-DJ who has four sons and has watched men and boys be denegrated for the last 20 years, thank you.",0,2025-11-13T13:19:00Z,"as a gen x ex-dj who has four sons and has watched men and boys be denegrated for the last 20 years, thank you."
@mtr20003,We all grow up too quickly..,0,2025-11-13T11:16:18Z,we all grow up too quickly..
@andrewstevenson9747,Nailed it! John Lewis never fails to deliver.,1,2025-11-13T10:08:27Z,nailed it! john lewis never fails to deliver.
@miaku,Such a great advert with a really strong message,0,2025-11-13T08:50:18Z,such a great advert with a really strong message
@winterhill_wanderer,"Dad to 2 boys, 4 and 6 and trust me nothing is taken for granted and these really are the best years .",0,2025-11-13T08:45:28Z,"dad to 2 boys, 4 and 6 and trust me nothing is taken for granted and these really are the best years ."
@patriciaclark3195,....my youth 😢x,0,2025-11-13T07:28:18Z,....my youth x
@blubelable,Not me weeping on the bus,0,2025-11-13T06:57:30Z,not me weeping on the bus
